Tamara Grbusic::  You can start whenever you'd like.
Babak Armajani & Tamara Grbusic::  My name is Babak Armajani. People here know me as Armi, and I’m class of ’68. I think there was an awful lot going on here at that time. What’s your impression of what was going on here at that time?
Babak Armajani::  And that happened- the original idea arose as a prank among some of my friends in Smith Hall when somebody got a hundred milliwatt oscillator, which is a very, very weak AM signal transmitter. We started playing around with it and we hooked it up to a record player and found that that worked. We found that when we plugged it into the electrical system at Smith, most of the rooms in the dorm would pick up the signal on a low, I think it was 680 or something like that, on a low AM frequency.
Babak Armajani & Tamara Grbusic::  So, we took over a closet that was a janitorial closet and we set up like a little sound booth in there. And we had a record player and a transmitter, and whenever anybody wanted to they went in there and broadcast, and people had their radios tuned in. And... you know, it was just kind of a fun thing to do. But, the S&B, is the S&B still around?
Babak Armajani::  The S&B at that time was more critical of the changes that were going on and the students that were advocating the changes, like, ending the segregation of men and women and ending women’s hours and stuff like that, that we had back then. And... so, some of us who wanted another voice that would be more supportive looked to an option for that kind of expression, because it wasn’t coming through the S&B, at the time. So, the idea, based on this closet thing in Smith was, well, why don’t we start a radio station?
Babak Armajani::  So, I went to the administration, ultimately to President Leggett, and proposed that we have a radio station. Their response was, “Absolutely not.” There was a station, an AM station at Grinnell. It was KGERL, I think, or KHERW, back in the fifties, and they hooked their antenna up to the railroad tracks in order to get a stronger signal. That jammed a station in St. Louis that was on the same frequency. This is true. So, the FCC came and the College was embarrassed and they had to shut it down. They didn’t want to have anything to do with- it was a bad experience. They didn’t want to have anything to do with it. We said, “Well, this is gonna be FM and it’s gonna be high quality,” and no, they didn’t want to have anything to do with it.
Babak Armajani::  So, there was already a pre-existing, adversarial relationship with the administration, and we were young and foolish and quick to act on our own when the College wouldn’t respond. So, a guy named Mike Fellinger who was a physics major drafted engineering plans for a real radio, y’know, with what kind of equipment, for a real radio booth. And other people started collecting music and people in the drama department started thinking about Radio Theater, and wouldn’t it be fun to do something different to radio and started working on Radio Theater. This was in the spring of ’66 which was my sophomore year.
Babak Armajani::  And then, in our junior year, my junior year, we started pursuing this in earnest and lots of people got involved, and decided we should have news – and not just Grinnell news but national news, and how do we get national news? And the prospects of cost, you know, kept building up as the vision became grander, and it was kind of like a club. I mean, there were meetings and there were different departments and there were people working on things but there was no radio station, nor was there any real opportunity for there to be a radio station. So, we decided we needed to raise money and we decided we needed $3,000. And-
Tamara Grbusic & Babak Armajani::  Why $3,000?
Babak Armajani & Tamara Grbusic::  So then- Am I- is this too long?
Babak Armajani::  So then, we broke into the library at night, and- which was very easy to do then - and the Development Office was in the basement of the library. We went down there to find a list of the big donors, of the big alumni donors, with the idea that we had all these people that were working on this, who were working together on a plan, and that we would send this plan, and somebody would generously come forward with the money for this worthy cause and fund the radio station.
