Alenka Figa::  Okay.
Kalilah Wiley Moxley & Alenka Figa::  Go ahead?
Kalilah Wiley Moxley & Alenka Figa::  Yeah, go ahead.
Kalilah Wiley Moxley & Alenka Figa::  Okay. My name is Kalilah Moxley. My maiden name is Wiley. I currently live in New Carrollton, Maryland, which is located just outside of Washington, DC, and I’m a member of the Grinnell College class of 2002, and no, my first name is not Hawaiian. I get that a lot at my job.
Kalilah Wiley Moxley & Alenka Figa::  Oh, that's funny.
Kalilah Wiley Moxley::  I’m gonna go a little bit with the questions ‘cause, didn’t have anything prepared. Why did I come to Grinnell College? I came to Grinnell College because it was the complete opposite of where I was raised. I lived in Washington, DC and, of course, major metropolitan city, it was crowded, and I wanted to go to a small town to a small school where you can get individualized attention. And I came here and it was middle of nowhere, so it was complete opposite of what I was used to and I wanted to get far away from home to experience something different. I figured, “Oh, 1,000 miles, that’ll work.”
Kalilah Wiley Moxley & Alenka Figa::  And I guess one of the things- there were so many different memories of the first time I came to the College. It was a complete other world, but it felt comfortable. I remember that people were walking around barefoot. I thought that was the weirdest thing, but it was-
Kalilah Wiley Moxley & Alenka Figa::  They still do that.
Kalilah Wiley Moxley & Alenka Figa::  They still do that? OK. And then they would come to class in slippers, which was like, “Oh my God.” And people were like sitting around campus. It was just really laid back and I really really loved that, and I think another thing that struck me was coming into the campus because it’s like, most people, when you fly, you fly into Des Moines and, as soon as you leave the city limits of Des Moines, it’s like, it’s the middle of nowhere. It’s farmland, and it's like, from where I’m from you have to drive like, about an hour, hour and a half before you see the middle of nowhere so to speak.
Kalilah Wiley Moxley & Alenka Figa::  Let’s see, in terms of was there a professor, student or staff member that had a strong influence, I would have to say there’s several different types of influences. One professor I really, really liked and I get the feeling he’s no longer here. He was a History professor, Tom Hietala.
Kalilah Wiley Moxley & Alenka Figa::  Yeah?
Kalilah Wiley Moxley & Alenka Figa::  Yeah, he’s gone. He taught American history but his focus was, he did stuff with African American history and he also did stuff with the Vietnam War and Civil Rights movement. I really enjoyed his classes because I had my Tutorial with him. It was called Screening the Sixties.
Kalilah Wiley Moxley & Alenka Figa::  Oh, great.
