Kathryn Vincent::  Start out with your name, city you're currently living in, and your class year.
Anne Hruska Parsons & Kathryn Vincent::  My name is Anne Hruska Parsons, Class of ’58 and I live in Castine, Maine.
Anne Hruska Parsons & Kathryn Vincent::  Is that near the water, or..?
Anne Hruska Parsons & Kathryn Vincent::  Yes, it’s on the water.
Anne Hruska Parsons & Kathryn Vincent::  Oh.
Anne Hruska Parsons & Kathryn Vincent::  It’s between Bar Harbor- Camden and Bar Harbor, yeah.
Kathryn Vincent & Anne Hruska Parsons::  Why did you come to Grinnell?
Kathryn Vincent & Anne Hruska Parsons::  I think, when I was leaving high school, that most of my peers were going either to the University of Nebra—I grew up in Omaha— University of Nebraska, or something else, and I was familiar with the sorority/fraternity situation at the University of Nebraska, and I didn’t think that was for me. So I heard about Grinnell, I was recruited and got a scholarship, and came to Grinnell.
Kathryn Vincent & Anne Hruska Parsons::  Were you recruited for a sport or for academics...?
Kathryn Vincent & Anne Hruska Parsons::  Just in general. Just in general, yeah. Not specifically for anything in particular. Academics, I would assume.
Kathryn Vincent & Anne Hruska Parsons::  Okay.
Kathryn Vincent & Anne Hruska Parsons::  What’s your first memory of campus- being on campus?
Kathryn Vincent & Anne Hruska Parsons::  I guess the buildings. The buildings: the Quad, the Loggia, the Green. It was like- nothing like that I had experienced, and not certainly like the University of Nebraska or Omaha or whatever the other institutions that I had seen. It was small.
Kathryn Vincent & Anne Hruska Parsons::  Was there a professor, student, or staff member who had a particularly strong influence on you?
Kathryn Vincent & Anne Hruska Parsons::  Well, I suppose like all other History Majors, it would be Joe Wall that turned me into a History Major. The person that recruited me and other people was Curt Harnack who was also a- who was an English Professor as well, so he was an influence in getting me here. Most of the History Professors were what I remember the most.
Kathryn Vincent & Anne Hruska Parsons::  Is there a favorite academic experience or class that you had at Grinnell?
Kathryn Vincent & Anne Hruska Parsons::  I was just thinking about that, because I was just talking to someone else this morning. I did go on the Washington Semester Plan, is- which is what they called it then. It’s the year abroad in Washington, DC. So that was really a turning point as well. It was a step beyond the independence that you had while you were here at Grinnell, and then another step into a large urban area, so that was memorable.
Kathryn Vincent & Anne Hruska Parsons::  What are some of your best memories of your time at Grinnell College?
Kathryn Vincent & Anne Hruska Parsons::  At the time, it was—and we talked about this a lot at the Reunion—that we were still a gender-specific campus, and living on South Campus with females and getting to know them, and making friends that I have kept since then. So the life here, even though it was restricted in some ways, was... was- also had a lot of room for growth, and... I went on to be—what we had then was League Board—and I went on to be president of one of the halls and so it was sort of a good transition period.
Kathryn Vincent & Anne Hruska Parsons::  What did your dorm room look like while you were here?
Kathryn Vincent & Anne Hruska Parsons::  They all seemed, in retrospect, they all seemed to be painted light green. And the first one in Main, I had a roommate, and they were all very small, and.... I don’t remember how we fit everything into it, but I guess we did.
Kathryn Vincent & Anne Hruska Parsons::  Any decorations that you remember fondly, or..?
Kathryn Vincent & Anne Hruska Parsons::  Not really. I think we were told- It was suggested what we were to bring, which is one bedspread, not very much else, and we didn’t, of course, have all the electronics that students bring now, I’m sure.
Kathryn Vincent & Anne Hruska Parsons::  Right.
Kathryn Vincent & Anne Hruska Parsons::  But, not any- very many bulky things.
Kathryn Vincent & Anne Hruska Parsons::  What kind of clothes did you wear everyday at Grinnell, and were there any special occasions you would dress up for?
Kathryn Vincent & Anne Hruska Parsons::  Thinking back on that too, I’m sure we- I packed matching sweaters and skirts, and that’s mostly what we wore, but I do remember we were told to bring gloves and hats because there would be teas, and there were teas and we wore gloves and hats. So I had a hat box with a hat in it and white gloves.
Kathryn Vincent & Anne Hruska Parsons::  Was there a book that influenced you heavily while you were at Grinnell?
