Ben Doehr::  Could you say a few words to make sure we have good levels?
Howard Ohline & Ben Doehr::  Sure.
Howard Ohline & Ben Doehr::  So, if you'd say your full name, where you're currently living, and college class you graduated in.
Howard Ohline::  My name is Howard Ohline. I'm living in Media, Pennsylvania, which is a small burrow outside of Philadelphia. I graduated in the Class of 1958.
Ben Doehr & Howard Ohline::  Excellent. So, why did you come to Grinnell College?
Ben Doehr & Howard Ohline::  I came to Grinnell College because my parents wanted me to come and because my brother came before me and graduated in the class of ’56. I actually started at a different school and transferred into Grinnell in the Spring of ’56, when my brother graduated.
Ben Doehr & Howard Ohline::  Mhm. Did you want to be here when he was here?
Ben Doehr & Howard Ohline::  I wa-- Well, hmm… that wasn’t any reason for not coming earlier.
Ben Doehr & Howard Ohline::  So what was your first memory of the campus?
Ben Doehr & Howard Ohline::  Well, that’s hard to say. Actually, my first memory of the town was the train station. Ha, ha. Getting off with all of my junk... but I really cannot answer that question, honestly. So, okay.
Ben Doehr & Howard Ohline::  Okay.
Ben Doehr & Howard Ohline::  So what was your best memory of your time at Grinnell, or one of your best memories?
Ben Doehr & Howard Ohline::  Well, I had many memories of classroom experiences that were very impressionable.
Howard Ohline::  I was a History major and I had Professor Wall. I had Professor Al Jones, and I had Professor Baumann, and also Sam Baron, all of whom were great History teachers and so I was very impressed with them.
Howard Ohline & Ben Doehr::  I was impressed with, kind of the general collegiate atmosphere of the whole campus. As I go along, I was impressed with other things... thought maybe we should...
Howard Ohline & Ben Doehr::  We can.
Howard Ohline & Ben Doehr::  Okay.
Ben Doehr & Howard Ohline::  So, what did your freshman year dorm room look like?
Ben Doehr & Howard Ohline::  The room I lived in was in North Younker and it was a.. L-shaped room with, I think three other guys in it. There were four guys in the room, which was a very good experience. I don’t remember the names of all of them, but I had a wonderful experience in the dorm.
Howard Ohline & Ben Doehr::  And I liked-- I stayed in North Younker my whole career and I ended up being President of North Younker my senior year.
Howard Ohline & Ben Doehr::  Really, so they had four Presidents, or a normal--?
Howard Ohline & Ben Doehr::  No, they had-- they had an organization called the C of HPs—The Council of House Presidents—and every hall had a president who was responsible for enforcing the various rules that existed on the campus at that particular time.
Howard Ohline & Ben Doehr::  That was the primary responsibility of the president. They met periodically-- I guess it was once a week, and discussed issues usually dealing with entertainment programs that were coming up and various other activities that were coming up on campus.
Howard Ohline & Ben Doehr::  Hm.
Ben Doehr & Howard Ohline::  I was talking with a woman earlier who was talking about the Social Chairperson. Were those around when you were around, or were those replaced by Dorm Presidents or Hall Presidents?
Ben Doehr & Howard Ohline::  That I don’t know.
Howard Ohline::  I’m not familiar with… There might have been a Social President or a Social Chairman or woman on the Women’s Campus because when we were here, the Men’s Campus was North Campus and the Women’s Campus was South Campus. Yeah, so, we were separated by sex.
Howard Ohline & Ben Doehr::  In fact, the first year, I remember we had a House Mother, but I don’t remember… There were social planners who were responsible for various types of programs that came on campus, but I don’t remember their exact title. Yeah, so…
Howard Ohline & Ben Doehr::  Mmkay.
Ben Doehr & Howard Ohline::  So what book most influenced you in college?
Ben Doehr & Howard Ohline::  What book?
Ben Doehr & Howard Ohline::  Yes. Do you have one?
Ben Doehr & Howard Ohline::  Well, I think it was the book used in a course called "History D-10" taught by Freddy Baumann, called “The History of Liberty.”
Howard Ohline::  The author, I cannot remember right now. I had it on the tip of my tongue earlier, but it was a history of the idea of liberty from the very beginning of Western Culture that related the sociology of the world to the development of the idea of liberty and Freddy, Professor Baumann, was a great advocate because he believed that no idea existed separate from the sociological context in which the idea emerged. So it was a very influential book, in my thinking.
Ben Doehr & Howard Ohline::  So obviously Grinnell has changed a lot since you were a student. The integration of the dorms, the building of..
Ben Doehr & Howard Ohline::  Yeah. Right.
Ben Doehr & Howard Ohline::  Do you think-- What sort of ideological changes do you think have happened in Grinnell since you were around?
Ben Doehr & Howard Ohline::  Well, I don’t know.
Howard Ohline::  I still think it’s probably a strong supporter for the Social Gospel movement and social justice, although they probably don’t use the phrase Social Gospel anymore. But that’s a form of 20th century liberalism, applying Christianity to the improvement of the social world, which I think is fundamentally American liberalism, so I’m not sure.
Howard Ohline::  The way I understand it is, Grinnell is still a fairly liberal institution concerned with social improvement; concerned with developing social character; improving the world. Not preoccupied-- well, it is concerned with professional excellence, but not primarily concerned with market excellence.
Howard Ohline & Ben Doehr::  I mean I'm not sure-- I don’t know what is taught, but I can’t believe that they spend a great deal of time advocating free market economics at Grinnell. Maybe I’m wrong.
Howard Ohline & Ben Doehr::  They seem to be kind of classes that are... We examine all sides of things.
Howard Ohline & Ben Doehr::  Yeah. Right. I’m sure they do. I'm sure they do. But I don’t, other than that, I don’t know how, ideologically, it would have changed.
Howard Ohline & Ben Doehr::  'Kay.
Ben Doehr & Howard Ohline::  So while you were here, what was your favorite place on campus?
Ben Doehr & Howard Ohline::  Favorite place?
Ben Doehr & Howard Ohline::  Favorite study spot or place to meet friends.
Ben Doehr & Howard Ohline::  Well, it was the Union, which doesn’t exist anymore.
